bash_code,nl_command,srno
find -mtime +2 -mtime -5,Look for any files that were modified 2-5 days ago,3194
find . -type f -name '* *',Find all files with space in their names under current directory,240
find . -iname foo -type f,find regular which case-insensitive name is foo in current directory,2029
find /etc -size +100k,Find all the files under /etc directory which are larger than 100k,13526
find -type d,Find all directories under current directory,6088
cd -,Go to previous working directory.,9995
"find . -type d | sed -e 's/\.\///g' | awk '{print $1, $1}' | xargs chgrp",Change the group of all directories (except those with a '.') under current directory tree to a group with the same name as the directory name,19772
find . -name 'spam-*' | xargs rm,Remove all files whose names start with spam-,17202
find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(\|#hyphenate' {} +,Find all *.p[lm] files under /users/tom directory that matches the regex '->get(\|#hyphenate' in their contents,716
echo `date` `hostname`,Print the date followed by the host name,6815
